Period,Total
16-Jan,61202
16-Feb,58836
16-Mar,70927
16-Apr,67603
16-May,71873
16-Jun,74886
16-Jul,77423
16-Aug,73908
16-Sep,66882
16-Oct,69986
16-Nov,66963
16-Dec,68272
17-Jan,62949
17-Feb,58667
17-Mar,73321
17-Apr,70606
17-May,74009
17-Jun,77369
17-Jul,80255
17-Aug,77563
17-Sep,65316
17-Oct,73143
17-Nov,70018
17-Dec,70666
18-Jan,64786
18-Feb,62068
18-Mar,76706
18-Apr,74018
18-May,77706
18-Jun,81334
18-Jul,84373
18-Aug,81318
18-Sep,69027
18-Oct,75880
18-Nov,73165
18-Dec,73113
19-Jan,67296
19-Feb,63844
19-Mar,80532
19-Apr,76750
19-May,81658
19-Jun,84177
19-Jul,87308
19-Aug,84104
19-Sep,72969
19-Oct,79039
19-Nov,73550
19-Dec,79724
20-Jan,71241
20-Feb,68287
20-Mar,39360
20-Apr,3089
20-May,10013
20-Jun,16794
20-Jul,24269
20-Aug,26035
20-Sep,25489
20-Oct,30296
20-Nov,29015
20-Dec,30781
21-Jan,27561
21-Feb,26790
21-Mar,43043
21-Apr,48135
21-May,57956
21-Jun,66465
21-Jul,74133
21-Aug,67294
21-Sep,59153
21-Oct,66348
21-Nov,66168
21-Dec,66981
22-Jan,52200
22-Feb,55108
22-Mar,72847
22-Apr,72275
22-May,76115
22-Jun,77766
22-Jul,80850
22-Aug,77087
22-Sep,71880
22-Oct,76832
22-Nov,72324
22-Dec,72242
23-Jan,67703
23-Feb,65146
23-Mar,80215
23-Apr,77957
23-May,82147
23-Jun,84457
23-Jul,88306
23-Aug,83537
23-Sep,76770
23-Oct,83085
23-Nov,78136
23-Dec,79046
24-Jan,70394
24-Feb,70734
24-Mar,85269
24-Apr,81608
24-May,87448
24-Jun,90092
24-Jul,92177
24-Aug,87190
24-Sep,77892
24-Oct,83271
24-Nov,77484
24-Dec,83692
25-Jan,71091
25-Feb,67523
25-Mar,84074
25-Apr,80779
25-May,85647
25-Jun,89088
25-Jul,92596
25-Aug,87235
25-Sep,77302
25-Oct,84689
25-Nov,75320
25-Dec,81593
26-Jan,69859
