Date,Trafic,Petrol,Somaj
2016-01-01,61202,31.68,4.8
2016-02-01,58836,30.32,4.9
2016-03-01,70927,37.55,5.0
2016-04-01,67603,40.75,5.1
2016-05-01,71873,46.71,4.8
2016-06-01,74886,48.76,4.9
2016-07-01,77423,44.65,4.8
2016-08-01,73908,44.72,4.9
2016-09-01,66882,45.18,5.0
2016-10-01,69986,49.78,4.9
2016-11-01,66963,45.66,4.7
2016-12-01,68272,51.97,4.7
2017-01-01,62949,52.5,4.7
2017-02-01,58667,53.47,4.6
2017-03-01,73321,49.33,4.4
2017-04-01,70606,51.06,4.4
2017-05-01,74009,48.48,4.4
2017-06-01,77369,45.18,4.3
2017-07-01,80255,46.63,4.3
2017-08-01,77563,48.04,4.4
2017-09-01,65316,49.82,4.3
2017-10-01,73143,51.58,4.2
2017-11-01,70018,56.64,4.2
2017-12-01,70666,57.88,4.1
2018-01-01,64786,63.7,4.0
2018-02-01,62068,62.23,4.1
2018-03-01,76706,62.73,4.0
2018-04-01,74018,66.25,4.0
2018-05-01,77706,69.98,3.8
2018-06-01,81334,67.87,4.0
2018-07-01,84373,70.98,3.8
2018-08-01,81318,68.06,3.8
2018-09-01,69027,70.23,3.7
2018-10-01,75880,70.75,3.8
2018-11-01,73165,56.96,3.8
2018-12-01,73113,49.52,3.9
2019-01-01,67296,51.38,4.0
2019-02-01,63844,54.95,3.8
2019-03-01,80532,58.15,3.8
2019-04-01,76750,63.86,3.7
2019-05-01,81658,60.83,3.6
2019-06-01,84177,54.66,3.6
2019-07-01,87308,57.35,3.7
2019-08-01,84104,54.81,3.6
2019-09-01,72969,56.95,3.5
2019-10-01,79039,53.96,3.6
2019-11-01,73550,57.03,3.6
2019-12-01,79724,59.88,3.6
2020-01-01,71241,57.52,3.6
2020-02-01,68287,50.54,3.5
2020-03-01,39360,29.21,4.4
2020-04-01,3089,16.55,14.8
2020-05-01,10013,28.56,13.2
2020-06-01,16794,38.31,11.0
2020-07-01,24269,40.71,10.2
2020-08-01,26035,42.34,8.4
2020-09-01,25489,39.63,7.8
2020-10-01,30296,39.4,6.9
2020-11-01,29015,40.94,6.7
2020-12-01,30781,47.02,6.7
2021-01-01,27561,52.0,6.4
2021-02-01,26790,59.04,6.2
2021-03-01,43043,62.33,6.1
2021-04-01,48135,61.72,6.1
2021-05-01,57956,65.17,5.8
2021-06-01,66465,71.38,5.9
2021-07-01,74133,72.49,5.4
2021-08-01,67294,67.73,5.1
2021-09-01,59153,71.65,4.7
2021-10-01,66348,81.48,4.5
2021-11-01,66168,79.15,4.1
2021-12-01,66981,71.71,3.9
2022-01-01,52200,83.22,4.0
2022-02-01,55108,91.64,3.9
2022-03-01,72847,108.5,3.7
2022-04-01,72275,101.78,3.7
2022-05-01,76115,109.55,3.6
2022-06-01,77766,114.84,3.6
2022-07-01,80850,101.62,3.5
2022-08-01,77087,93.67,3.6
2022-09-01,71880,84.26,3.5
2022-10-01,76832,87.55,3.6
2022-11-01,72324,84.37,3.6
2022-12-01,72242,76.44,3.5
2023-01-01,67703,78.12,3.5
2023-02-01,65146,76.83,3.6
2023-03-01,80215,73.28,3.5
2023-04-01,77957,79.45,3.4
2023-05-01,82147,71.58,3.6
2023-06-01,84457,70.25,3.6
2023-07-01,88306,76.07,3.5
2023-08-01,83537,81.39,3.7
2023-09-01,76770,89.43,3.7
2023-10-01,83085,85.64,3.9
2023-11-01,78136,77.69,3.7
2023-12-01,79046,71.9,3.8
2024-01-01,70394,74.15,3.7
2024-02-01,70734,77.25,3.9
2024-03-01,85269,81.28,3.9
2024-04-01,81608,85.35,3.9
2024-05-01,87448,80.02,3.9
2024-06-01,90092,79.77,4.1
2024-07-01,92177,81.8,4.2
2024-08-01,87190,76.68,4.2
2024-09-01,77892,70.24,4.1
2024-10-01,83271,71.99,4.1
2024-11-01,77484,69.95,4.2
2024-12-01,83692,70.12,4.1
2025-01-01,71091,75.74,4.0
2025-02-01,67523,71.53,4.2
2025-03-01,84074,68.24,4.2
2025-04-01,80779,63.54,4.2
2025-05-01,85647,62.17,4.3
2025-06-01,89088,68.17,4.1
2025-07-01,92596,68.39,4.3
2025-08-01,87235,64.86,4.3
2025-09-01,77302,63.96,4.4
2025-10-01,84689,60.89,4.45
2025-11-01,75320,60.06,4.5
2025-12-01,81593,57.97,4.4
2026-01-01,69859,60.04,4.3
